Motor_Temperature,Vibration_Level,Power_Consumption,Robot_ID_Robot_1,Robot_ID_Robot_2,Robot_ID_Robot_3,Region_Rural,Region_Urban,Failure_No,Failure_Yes
0.3180202752837056,0.7223307084165347,0.10252290585967394,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.3697731918082301,0.6498160678102247,0.4071953765899996,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.6349720175724858,0.40558697433675817,0.7067781568385356,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.42228379721879983,0.4013114324333107,0.29509511764384455,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.593922652485926,0.5879410092633793,0.37881044944810705,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.4700328227683537,0.6783234290606872,0.060187582227398284,0.0,0.0,1.0,1.0,0.0,1.0,0.0
0.36581119571267373,0.5759666360381701,0.8901028808967286,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.2374545790570195,0.4084842814839984,0.06425614920190692,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.17761567430044645,0.7115324323958299,0.12555934023296378,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.5215227881795825,0.3633232005343323,0.20085348261813252,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.2076974249175536,0.6225431310886743,0.16125738697562264,0.0,0.0,1.0,1.0,0.0,1.0,0.0
0.6358761250716434,0.22315826393848068,0.31183184691508337,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.46853520731604803,0.383198254821977,0.6040982752413877,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.534941076133884,0.39272398042044865,0.8587631408785512,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.1257524251547657,0.7116088236431771,0.18396978699667477,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.4399453294028681,0.501397804148074,0.641827159863996,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.3349133412847227,0.4764183586127523,0.6630238147569243,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.08338938051950406,0.46200551446879357,0.8209067161873413,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.4739033658612497,0.5635864826697125,0.0042712209953792435,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.5604679027645345,0.4483870415192921,0.20387788463435896,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.4665374067547903,0.8448492563847239,0.9924465491298562,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.3828148758632117,0.5961365369079488,0.4664619772829244,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.29354218536037346,0.5727911905542998,0.795698008522111,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.4265293889441253,0.5344828233900069,0.25218317706021054,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.5276515904068466,0.8462261880115753,0.6521828977088755,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.6358057323230344,0.4908397181355437,0.9829759164358938,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.24603486529184182,0.6221838736497195,0.18550411785877463,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.4888064805019705,0.4730129249013777,0.587761342788385,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.31124792707387905,0.4230837656750722,0.9086687601000678,0.0,0.0,1.0,1.0,0.0,1.0,0.0
0.41876622093805915,0.4619030735819598,0.5791458516706411,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.5573390425694604,0.4508354167435694,0.16297438123820873,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.5732050376785895,0.15795146852861194,0.8025410780980144,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.3077436679717056,0.5462949848612456,0.3914945773157801,0.0,0.0,1.0,1.0,0.0,1.0,0.0
0.4220628103219417,0.2736840903793254,0.5529328742515858,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.5883576053046957,0.7090423880257676,0.09248865440348886,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.9006438039773197,0.6387048097456699,0.5669325987127325,0.0,0.0,1.0,0.0,1.0,1.0,0.0
