Machine_ID,Temperature,Vibration,Operating_Hours,Color,Maintenance_Required
1,68.75065357377551,0.4897679846310805,503,black,Yes
1,78.63707595259427,0.512739980841342,796,black,No
1,45.39880288282422,0.40902582247521574,832,black,Yes
1,57.27392977890845,0.3724686011505579,760,black,Yes
1,53.032170015451776,0.5523688991487752,243,black,Yes
1,40.8306447060877,0.4687615141595947,934,black,Yes
1,62.270844504825504,0.5645557968891701,639,black,Yes
1,47.77096293252575,0.673091666831464,186,black,Yes
1,50.37984755795623,0.48243752884052143,549,black,Yes
1,50.378259157090845,0.4541178038312158,102,black,Yes
1,38.87643468646607,0.5660495746505795,416,black,Yes
1,58.041020160897716,0.5777054739389466,143,black,No
1,66.34259131985837,0.45983408346599053,152,black,Yes
1,59.33720949949163,0.5830346550019313,984,black,Yes
1,62.94376921397629,0.4243855745027602,327,black,Yes
1,41.99727744908802,0.46820680776431806,909,black,Yes
1,46.43065763259189,0.4978726234922113,691,black,Yes
1,54.44917915470061,0.4847590808478702,681,black,Yes
1,49.952498267739834,0.4876244813292848,800,black,Yes
1,52.9789710413129,0.6274903669330063,793,black,Yes
1,44.72190124698119,0.5549954661131598,650,black,Yes
1,43.604649048644646,0.39970209510031335,804,black,No
1,46.5737371321955,0.5452025044695186,454,black,Yes
1,44.69977964069522,0.32457344890746637,635,black,No
1,55.34153991920266,0.5262737408455415,979,black,Yes
1,41.40950365158334,0.42262532289501337,638,black,Yes
1,62.851588516994326,0.46934497763832084,584,black,Yes
1,57.936476577425964,0.5706883181126596,786,black,Yes
1,47.665528568961285,0.5835293296561668,982,black,Yes
1,66.08187892797793,0.5277402744064708,956,black,Yes
1,52.358387734979864,0.5102962330873361,772,black,Yes
1,55.49168636930446,0.44542058976066345,492,black,Yes
1,39.35271608639158,0.6165559820342801,288,black,No
1,55.45506619698163,0.41982015078447965,471,black,No
1,52.47146434719261,0.40219501361356835,957,black,Yes
1,75.79914077666099,0.39971973956134793,484,black,Yes
1,65.16316647784757,0.4670589652798546,661,black,Yes
1,34.923641331733144,0.6771982243554598,436,black,Yes
1,47.16170387454672,0.5054131220730518,384,black,Yes
1,61.58523106220386,0.4550742665187346,105,black,Yes
1,56.112929872514414,0.5050090104888856,151,black,No
1,46.66370228811539,0.46206427969272634,524,black,Yes
1,50.91187730656236,0.5807482289306727,826,black,Yes
1,49.39181515374079,0.598851587079122,374,black,Yes
1,43.48273888562578,0.4941266675549402,909,black,Yes
1,37.27170596329747,0.595012762955889,352,black,Yes
1,46.38866261087513,0.2859808946064476,666,black,Yes
1,54.443749225664575,0.6695055822343101,450,black,Yes
1,40.256170995896596,0.4519863021751753,628,black,Yes
1,44.68904756943676,0.45246697919325307,172,black,Yes
1,65.87681333475983,0.45016249687897675,682,black,Yes
1,41.57941469025071,0.7122718483005919,172,black,Yes
1,23.28348107159936,0.41982997787603343,307,black,Yes
1,37.479662142254156,0.3463457818951663,839,black,No
1,49.84742506431905,0.5897473928752266,140,black,No
1,28.128075021234476,0.4187983547290308,548,black,Yes
1,58.46131964819765,0.5069008667090783,152,black,Yes
1,47.184788617830115,0.4555510066298929,919,black,No
1,47.073949077536824,0.5146314564614256,290,black,Yes
1,33.22272910999684,0.36009243887265485,585,black,Yes
1,35.43081518278166,0.4961327633704669,252,black,No
1,71.63775586608378,0.5720401956544644,750,black,Yes
1,64.15127583286632,0.5368597781240803,210,black,Yes
1,26.349511922886148,0.745908300409193,524,black,No
1,68.2889428106984,0.5135072812633327,221,black,No
1,43.51052175400851,0.5836599827786311,128,black,Yes
1,56.96987328851702,0.46974568596563193,537,black,Yes
1,47.031324447826705,0.5662129889304707,944,black,No
1,44.71290356082781,0.468178342167943,189,black,Yes
1,56.426762704310185,0.48689602238454616,953,black,Yes
1,51.60846804213244,0.6063889605717097,910,black,Yes
1,48.54204766309148,0.42457096424162966,237,black,Yes
1,55.775325266495656,0.6007262347287313,526,black,Yes
1,50.01631722495192,0.5132345385454034,754,black,Yes
1,48.938443458397025,0.6678070372065157,267,black,No
1,47.73674884542772,0.6034794094214501,652,black,No
1,53.53411409407607,0.3011769133058808,191,black,Yes
