Machine_ID,Temperature,Vibration,Operating_Hours,Color,Maintenance_Required
1,63.75167331964044,0.3768374491551333,757,white,No
1,41.132889407450904,0.42067776247329675,327,white,Yes
1,58.24216949475071,0.5566510258017797,597,white,No
1,44.043252229898826,0.5018292820176125,423,white,No
1,44.568717615047355,0.5899286271311568,433,white,Yes
1,53.34444291733874,0.6150983677405498,773,white,Yes
1,61.56657536216681,0.45768260977785136,200,white,No
1,48.68747108988292,0.6135569082397799,128,white,Yes
1,52.25449063450186,0.5989782925779826,416,white,No
1,49.55622972845399,0.43381666788473583,665,white,No
1,44.152984717680724,0.5507589753262925,526,white,No
1,60.914862095334854,0.7587137713339883,272,white,No
1,47.182436634816916,0.6640817703076067,564,white,No
1,49.93125168267544,0.4172894578472217,443,white,No
1,33.058983815881234,0.45676680821526927,269,white,No
1,33.56440756515747,0.39810488899111074,832,white,No
1,51.612451047894055,0.4082829082570143,496,white,No
1,63.258938907971995,0.49781564875520123,919,white,No
1,45.86412345430397,0.5186804713992241,882,white,Yes
1,59.649995528619385,0.361819134332401,262,white,No
1,46.09127332265615,0.7650705709647434,975,white,No
1,74.57122746466308,0.5380396726133967,444,white,No
1,59.1925022525748,0.5188639320616638,145,white,No
1,54.31742718453185,0.5682085243168905,101,white,No
1,63.89592166344169,0.4937627458020717,914,white,No
1,60.82896473841704,0.46720064754595264,217,white,Yes
1,55.42223342083958,0.5296295036556391,902,white,No
1,39.05387417909853,0.40811203929090184,508,white,No
1,53.652685922047105,0.38925782467527215,667,white,No
1,68.32523462934141,0.451624423773233,269,white,No
1,86.45002863097945,0.33880590655091136,746,white,No
1,54.097744739261586,0.6496308922552999,828,white,No
1,57.31539298078796,0.4564806507132529,418,white,No
1,48.138439205545716,0.6366793560952109,521,white,No
1,53.49739029506324,0.41664797118666475,759,white,No
1,49.79116556078534,0.5630950252585668,603,white,No
1,52.59406843732866,0.5331289140999691,248,white,No
1,65.72460850823035,0.5888335235395695,263,white,No
1,55.222947382252215,0.4996637368162543,671,white,No
1,53.32093098932276,0.4868551042332022,835,white,No
1,43.68178471260499,0.6174113868625792,254,white,No
1,47.44753646007265,0.3824963932177174,834,white,No
1,39.20420968295474,0.5598807717243893,665,white,No
1,46.728978880546855,0.5033010019268888,961,white,No
1,40.55252574232772,0.43145200777690007,905,white,No
1,41.16070853488383,0.473896053424977,950,white,No
1,46.84779012045608,0.5936984479830739,547,white,No
1,55.11208142337234,0.4766353940065716,331,white,No
1,38.649577363790044,0.5606914393342356,534,white,No
1,56.99143596503796,0.49443218937284833,147,white,No
1,59.652135535863486,0.322781298210819,127,white,Yes
1,42.414779379315284,0.5142400358046136,385,white,No
1,22.144890110329314,0.6796731766001343,762,white,No
1,61.58975435771589,0.3796995952747733,572,white,No
1,43.08346377640704,0.5263097321671306,516,white,Yes
1,46.46463216551693,0.5229435247043703,255,white,No
1,75.51682448910165,0.434287097719333,574,white,No
1,42.18304218731263,0.5338873447578668,689,white,No
1,69.75626440543061,0.5082206621968032,218,white,No
1,47.02890500305566,0.6124473761195645,987,white,No
1,49.485351080205135,0.509840126211375,484,white,No
1,73.13841666108665,0.5375236781278095,604,white,No
1,45.295696396468415,0.6082792216508304,990,white,No
1,39.8316624991407,0.5284097059901598,761,white,No
1,45.8412447146329,0.3788783350580528,881,white,No
1,60.94295142897454,0.46314601003958067,743,white,Yes
1,44.00753875866331,0.48104465946540165,421,white,No
1,45.75627009027472,0.3732258320290214,759,white,No
1,39.86216512336202,0.7078626141443176,375,white,No
1,48.51823091331876,0.46183724937132176,733,white,No
1,67.81338846261401,0.4915343047761618,309,white,No
1,39.14999721488413,0.5787956461148267,597,white,No
1,38.11150541031635,0.4177546074456375,337,white,Yes
1,49.608897300130494,0.5626452594337591,368,white,No
1,67.12160873871873,0.7873825453535259,111,white,No
1,48.371119540076364,0.5294195684097716,243,white,No
1,57.510452870732514,0.41312718501569884,769,white,No
1,46.71250488449661,0.6284876040891234,851,white,No
1,46.30902938529269,0.589660278823779,752,white,Yes
1,33.805536760357,0.33587433230282104,871,white,No
1,44.16359683609213,0.6043349478648047,700,white,No
1,59.35009482480368,0.37468795511140257,775,white,No
1,35.12023216360308,0.4064791650876429,245,white,No
1,47.42841471844236,0.4179822153853057,155,white,No
1,41.89670345530499,0.69663101927228,599,white,No
1,55.14167418482531,0.4770452233252963,373,white,No
1,54.61634656979238,0.5231479281394134,389,white,No
1,36.10204483461354,0.3882996407785769,859,white,Yes
1,44.49527514315888,0.49720629085462764,747,white,No
1,45.90656808908878,0.3679552201118538,379,white,Yes
1,57.063404845769014,0.5187588728718635,144,white,No
1,74.07496597244176,0.5440231318213355,424,white,Yes
1,57.13000697848105,0.6067823842004412,661,white,Yes
1,40.64671578749389,0.4063622896518374,458,white,No
1,43.46719337316728,0.43601805552353334,641,white,No
1,56.1735573610317,0.5774787811558819,538,white,No
1,78.51337507056893,0.3964250456481857,629,white,No
1,32.818334209135685,0.31233016009819414,444,white,No
1,49.24496394176733,0.5545594420313303,545,white,No
1,57.56755884016947,0.6216688229644451,119,white,No
2,37.61091434501265,0.4876342894482204,213,black,Yes
2,58.5269620302185,0.5130744616959977,872,black,Yes
2,53.8596995335729,0.5021464278146917,380,black,No
2,50.41577732454368,0.577774683240422,886,black,Yes
2,50.82759029035233,0.6028064671085849,829,black,No
2,37.76925928757136,0.6953725258631015,646,black,No
2,51.43187146046528,0.5500007947021534,608,black,Yes
2,51.8972004557514,0.368678955999863,309,black,Yes
2,47.43646763646888,0.33917947975819374,769,black,No
2,55.579483226732485,0.42899996859463685,490,black,Yes
2,57.17629466643098,0.5216299884632035,201,black,No
2,43.29439332223864,0.5218936688454789,258,black,Yes
2,54.34288709666946,0.5035371461427781,680,black,Yes
2,46.782776989570664,0.4007106982858044,174,black,Yes
